Host family,Host genus,Species,Conservation Status,Parasite type,Type Parasite Detailled,EEO,Parasite Family,Parasite genus,Parasite species,Host,region,reference,Sample from
Lemuridae,Varecia,variegata,CR,protozoa,protozoan,99202,Entamoebidae,amebic,,Varecia_variegata_variegata,Ranomafana,"noromalala, 2022",
Lemuridae,Lemur,catta,EN,protozoa,protozoan,115083,Entamoebidae,amebic,,Lemur_catta,Bezaha Mahafaly,"faulkner et al., 2004",
Lemuridae,Lemur,catta,EN,protozoa,protozoan,115083,Coccidia,coccidia,,Lemur_catta,Bezaha Mahafaly,"loudon et al., 2006",
Lemuridae,Eulemur,ruffifrons,VU,helminth,nematode,138438,strongylidae,Lemurostrongylus,,Eulemur_rufifrons,Tsiombokibo Classified Forest,"Junge et al., 2005",Biomedical
Lemuridae,Eulemur,fulvus,VU,helminth,nematode,170182,Oxyuridae,Callistoura,,Eulemur_fulvus,Mayotte,"Quitar et al., 2019",Biomedical
Lemuridae,Eulemur,fulvus,VU,helminth,nematode,170182,Oxyuridae,Lemuricola,,Eulemur_fulvus,Mayotte,"Quitar et al., 2019",Biomedical
Lepilemuridae,Lepilemur,edwardsi,EN,helminth,nematode,10654,Ascarididae,Ascaris,sp.,Lepilemur_edwardsi,Ankarafantsika,"Bethge et al., 2022",
Lepilemuridae,Lepilemur,edwardsi,EN,helminth,nematode,10654,Strongylidae,Strongyloides,sp.,Lepilemur_edwardsi,Ankarafantsika,"Bethge et al., 2022",
Lepilemuridae,Lepilemur,edwardsi,EN,helminth,nematode,10654,Oxyuridae,Lemuricola,sp.,Lepilemur_edwardsi,Ankarafantsika,"Bethge et al., 2022",
Lepilemuridae,Lepilemur,edwardsi,EN,helminth,nematode,10654,strongylidae,Lemurostrongylus,sp.,Lepilemur_edwardsi,,"Junge and Sauther, 2006",
Lepilemuridae,Lepilemur,ruficaudatus,CR,helminth,nematode,23325,Tristrongylidae,Pararhabdonema,longistriata,Lepilemur_ruficaudatus,,"Chabau and Choquet, 1955",
